sample,model,n_parameters,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
1,1,570474,1243,1.65,0.912,3.0,2.0,9.7,3.5569,0.0,2.712372,1.5913906,266.93321129878365
1,1,570474,1243,2.1512,0.5012,8.1667,5.1667,8.7,4.1497,0.0,4.0370636,1.3246913,266.93321129878365
1,1,570474,1243,3.3883,1.2371,22.067,13.9003,6.6,2.8159,0.0,4.851364,0.81430084,266.93321129878365
1,1,570474,1243,5.466,2.0777,47.1,25.033,7.9,2.5195,0.0,6.5107937,1.6594296,266.93321129878365
1,1,570474,1243,6.461,0.995,71.367,24.267,12.0,2.6677,0.0,6.893237,0.38244337,266.93321129878365
1,1,570474,1243,6.8146,0.3536,142.1,70.733,14.4,4.8908,0.0,8.0865555,1.1933181,266.93321129878365
1,1,570474,1246,0.834,0.834,1.0,1.0,10.0,4.2979,0.0,0.4267879,0.4267879,266.93321129878365
1,1,570474,1246,1.2595,0.4255,3.0167,2.0167,9.8,4.6684,0.0,0.96663463,0.5398467,266.93321129878365
1,1,570474,1246,1.7701,0.5106,8.5667,5.55,6.9,3.0382,0.0,1.6543744,0.6877398,266.93321129878365
1,1,570474,1246,2.3667,0.5966,24.267,15.7003,8.0,3.4087,0.0,5.038559,3.3841846,266.93321129878365
1,1,570474,1246,4.0677,1.701,44.517,20.25,6.6,2.0749,0.0,6.244151,1.2055924,266.93321129878365
1,1,570474,1246,4.2374,0.1697,68.75,24.233,12.0,2.6677,0.0,6.7807913,0.5366398,266.93321129878365
1,1,570474,1246,4.8744,0.637,139.53,70.78,14.4,4.8908,0.0,7.2199597,0.43916863,266.93321129878365
1,1,570474,1248,1.093,1.093,1.0,1.0,10.0,4.6684,0.0,1.3329878,1.3329878,266.93321129878365
1,1,570474,1248,1.459,0.366,3.0,2.0,9.1,4.5202,0.0,2.3456447,1.0126569,266.93321129878365
1,1,570474,1248,1.9531,0.4941,7.5333,4.5333,6.6,2.8159,0.0,3.3573132,1.0116684,266.93321129878365
1,1,570474,1248,3.2933,1.3402,23.117,15.5837,8.0,3.4087,0.0,4.6768985,1.3195853,266.93321129878365
1,1,570474,1248,5.4832,2.1899,43.583,20.466,7.0,2.0749,0.0,5.6319733,0.9550747,266.93321129878365
1,1,570474,1248,5.6782,0.195,67.95,24.367,12.0,2.6677,0.0,6.2846284,0.6526552,266.93321129878365
1,1,570474,1248,5.6782,0.0,138.48,70.53,14.3,4.8908,0.0,6.7151227,0.4304943,266.93321129878365
1,1,570474,1258,3.2683,3.2683,1.7667,1.7667,5.38,4.3489,0.11321,6.58926,6.58926,266.93321129878365
1,1,570474,1258,5.5768,2.3085,5.8167,4.05,5.45,4.0498,0.098765,12.369232,5.779972,266.93321129878365
1,1,570474,1258,8.022,2.4452,20.2,14.3833,0.68,1.4727,0.013905,13.591532,1.2222996,266.93321129878365
1,1,570474,1258,8.4753,0.4533,24.733,4.533,4.25,2.3125,0.0,14.832668,1.2411366,266.93321129878365
1,1,570474,1258,10.091,1.6157,29.1,4.367,5.28,3.8772,0.0,15.637615,0.8049471,266.93321129878365
1,1,570474,1258,10.242,0.151000000000002,44.15,15.05,0.98,0.70181,0.0,16.153637,0.5160225,266.93321129878365
1,1,570474,1258,10.618,0.375999999999999,47.917,3.767,3.84,2.3816,0.0,16.680534,0.5268963,266.93321129878365
1,1,570474,1258,11.332,0.714,51.883,3.966,4.73,3.44,0.02521,17.20275,0.52221465,266.93321129878365
1,1,570474,1458,1.3155,1.3155,0.33333,0.33333,21.9,0.6647,0.0,0.77587277,0.77587277,266.93321129878365
1,1,570474,1458,2.0321,0.7166,0.66667,0.33334,22.4,0.73117,0.0,1.5850649,0.8091921,266.93321129878365
1,1,570474,1458,2.3114,0.2793,1.0,0.33333,22.8,0.80872,0.0,2.0560946,0.47102964,266.93321129878365
1,1,570474,1458,2.6075,0.2961,2.0,1.0,23.4,1.0081,0.0,2.9013796,0.8452851,266.93321129878365
1,1,570474,1458,2.7703,0.1628,3.0,1.0,24.1,1.1743,0.0,3.71133,0.8099503,266.93321129878365
