"","e.cum","e.rel","pmid","meas.tech","country","inst","ct","tan.app","app.rate","man.dm","man.ph","man.source","t.incorp","air_temp_1","air_temp_2","air_temp_3","air_temp_4","air_temp_5","air_temp_6","wind.2m_1","wind.2m_2","wind.2m_3","wind.2m_4","wind.2m_5","wind.2m_6","rain.rate_1","rain.rate_2","rain.rate_3","rain.rate_4","rain.rate_5","rain.rate_6","app.mthd_bc","app.mthd_bsth","app.mthd_ts","app.mthd_os","incorp_none","incorp_shallow"
"393",24.085,0.117167736913796,2577,"IHF","NL",214,67.683,205.56,37.649,9.12,7.2,0,0,18.7990127285447,19.8493337288136,17.5538355026309,14.7845195236777,12.0152035447245,15.0995800359011,3.63689083376503,3.58381216186441,2.56187510804528,2.27178506331663,1.98169501858798,1.68673281676087,0,0,0,0,0,0,1,0,0,0,0,1
"394",24.557,0.154165358779584,2578,"IHF","NL",214,68.267,159.29,29.174,9.12,7.2,0,1000,18.6394897292347,19.9422977489158,17.9421825045766,14.915038058283,11.8878936119895,15.0817990872765,3.60368704361782,3.64756847439067,2.72106219748264,2.33828959243915,1.95551698739566,1.67840763664166,0,0,0,0,0,0,0,0,0,1,1,0
"395",20.59,0.128182780302559,2579,"IHF","NL",214,68.15,160.63,29.42,9.12,7.2,0,0,18.3770401456163,19.8582990886925,17.0949214124547,14.620009230511,12.2368591088361,15.0830263858285,3.52007213065022,3.70768599982806,2.42449971177962,2.17148779894269,2.0124880506839,1.70586740746121,0,0,0,0,0,0,1,0,0,0,0,1
"396",15.224,0.0959657085224408,2580,"IHF","NL",214,67.7,158.64,29.054,9.12,7.2,0,1000,19.1677686605041,19.6781825038883,16.8017294626313,14.062825377217,11.3239212918027,15.0737045569715,3.79197806988654,3.47762341874534,2.32657220506485,2.10936581664167,1.89215942821848,1.68139254068726,0,0,0,0,0,0,0,0,0,1,1,0
"397",17.749,0.114068123393316,2581,"IHF","NL",214,91.217,155.6,29.981,8.6,7.3,0,0,24.4666236296689,23.2231854951485,20.501985253848,17.6312266117364,14.9264832372332,17.1765517217127,3.16181056856881,3.2533157595603,2.75144928680612,2.05828205203659,1.40831118062293,2.04296407313943,0,0,0,0,0,0,1,0,0,0,0,1
"398",31.736,0.206776127182695,2582,"IHF","NL",214,93.183,153.48,29.571,8.6,7.3,0,1000,23.1573685491335,24.413851202619,21.4356053258815,18.7825273280184,16.1294493301553,17.1290615974785,3.00943863897488,3.13567580521048,3.37476154351936,2.58363801265719,1.79251448179502,2.04449794534411,0,0,0,0,0,0,0,0,0,1,1,0
"399",20.962,0.133686224489796,2583,"IHF","NL",214,90.983,156.8,30.211,8.6,7.3,0,0,24.7931930676518,22.9069159105482,20.1293074443642,17.4013040018836,14.8582543341362,17.1973645690567,3.0033427642528,3.28544130209317,2.80575452353309,2.08734780744842,1.4202479778198,2.05460568596303,0,0,0,0,0,0,1,0,0,0,0,1
"400",22.382,0.151475365457499,2584,"IHF","NL",214,68.933,147.76,28.469,8.6,7.3,0,1000,23.3956470960463,24.2876890935317,21.0053671008676,18.4379182159185,15.8704693309694,17.2133121271063,3.05046212005706,3.20586659122024,3.33661250728456,2.53991538909819,1.74321827091182,2.17775703342013,0,0,0,0,0,0,0,0,0,1,1,0
"401",12.647,0.295822417664671,2783,"IHF","NL",214,94.017,42.752,27.231,7.4,6.9,1,1000,15.957907486924,17.5812434017595,16.8899624991155,15.3672850774782,13.8446076558409,15.1250284818607,1.9362743259474,3.43130240469208,3.48678831104507,2.98198395245171,2.47717959385835,2.45059190592389,0,0,0,0,0,0,0,0,0,1,1,0
"402",9.0231,0.252769140263888,2785,"IHF","NL",214,93.8,35.697,22.737,7.4,6.9,1,1000,16.3430178410344,17.6154195254264,16.7427043706206,15.2084515331814,13.6741986957422,15.0693396740763,2.20884365008967,3.53168670713715,3.45947524910181,2.9490861860103,2.4386971229188,2.43773235082084,0,0,0,0,0,0,0,0,0,1,1,0
